TargetID	ProbeID	1377192003_A.AVG_Signal	1377192003_A.Detection Pval	1377192003_B.AVG_Signal	1377192003_B.Detection Pval	1377192003_C.AVG_Signal	1377192003_C.Detection Pval	1377192003_D.AVG_Signal	1377192003_D.Detection Pval	1377192003_E.AVG_Signal	1377192003_E.Detection Pval	1377192003_F.AVG_Signal	1377192003_F.Detection Pval	1377192004_A.AVG_Signal	1377192004_A.Detection Pval	1377192004_B.AVG_Signal	1377192004_B.Detection Pval	1377192004_C.AVG_Signal	1377192004_C.Detection Pval	1377192004_D.AVG_Signal	1377192004_D.Detection Pval	1377192004_E.AVG_Signal	1377192004_E.Detection Pval	1377192004_F.AVG_Signal	1377192004_F.Detection Pval	1377192007_A.AVG_Signal	1377192007_A.Detection Pval	1377192007_B.AVG_Signal	1377192007_B.Detection Pval	1377192007_C.AVG_Signal	1377192007_C.Detection Pval	1377192007_D.AVG_Signal	1377192007_D.Detection Pval	1377192007_E.AVG_Signal	1377192007_E.Detection Pval	1377192007_F.AVG_Signal	1377192007_F.Detection Pval	1377192008_A.AVG_Signal	1377192008_A.Detection Pval	1377192008_B.AVG_Signal	1377192008_B.Detection Pval	1377192008_C.AVG_Signal	1377192008_C.Detection Pval	1377192008_D.AVG_Signal	1377192008_D.Detection Pval	1377192008_E.AVG_Signal	1377192008_E.Detection Pval	1377192008_F.AVG_Signal	1377192008_F.Detection Pval	1377192013_A.AVG_Signal	1377192013_A.Detection Pval	1377192013_B.AVG_Signal	1377192013_B.Detection Pval	1377192013_C.AVG_Signal	1377192013_C.Detection Pval	1377192013_D.AVG_Signal	1377192013_D.Detection Pval	1377192013_E.AVG_Signal	1377192013_E.Detection Pval	1377192013_F.AVG_Signal	1377192013_F.Detection Pval	1377192014_A.AVG_Signal	1377192014_A.Detection Pval	1377192014_B.AVG_Signal	1377192014_B.Detection Pval	1377192014_C.AVG_Signal	1377192014_C.Detection Pval	1377192014_D.AVG_Signal	1377192014_D.Detection Pval	1377192014_E.AVG_Signal	1377192014_E.Detection Pval	1377192014_F.AVG_Signal	1377192014_F.Detection Pval	1377192019_A.AVG_Signal	1377192019_A.Detection Pval	1377192019_B.AVG_Signal	1377192019_B.Detection Pval	1377192019_C.AVG_Signal	1377192019_C.Detection Pval	1377192019_D.AVG_Signal	1377192019_D.Detection Pval	1377192019_E.AVG_Signal	1377192019_E.Detection Pval	1377192019_F.AVG_Signal	1377192019_F.Detection Pval	1377192020_A.AVG_Signal	1377192020_A.Detection Pval	1377192020_B.AVG_Signal	1377192020_B.Detection Pval	1377192020_C.AVG_Signal	1377192020_C.Detection Pval	1377192020_D.AVG_Signal	1377192020_D.Detection Pval	1377192020_E.AVG_Signal	1377192020_E.Detection Pval	1377192020_F.AVG_Signal	1377192020_F.Detection Pval
negative	2640647	67.62508	0.6410891	65.75143	0.5847772	60.58202	0.6299505	64.97821	0.2246287	58.20861	0.3842822	57.568	0.5358911	83.08981	0.3737624	72.60197	0.5024753	65.30294	0.3867574	86.32414	0.1596535	69.90701	0.4795792	58.51699	0.7042079	68.27305	0.4381188	78.33586	0.2407178	77.40268	0.3873762	74.99709	0.4282178	68.27392	0.5550743	72.83187	0.4393564	70.41068	0.4690594	76.54318	0.3001238	71.2477	0.5841584	79.0213	0.2413366	68.19067	0.6936881	76.68033	0.3131188	84.07572	0.3273515	78.14766	0.2475248	73.41416	0.3292079	70.54919	0.3898515	69.62246	0.6132426	74.8102	0.3941832	68.79125	0.7252475	76.62862	0.5173267	67.39705	0.6113861	62.2288	0.8279703	103.1302	0.4071782	83.16729	0.4863862	78.56803	0.7636139	84.14066	0.5030941	77.15399	0.552599	79.60045	0.4647277	69.93898	0.4826733	72.30152	0.6491337	73.82137	0.470297	76.32016	0.4610148	67.283	0.7227723	75.76932	0.4238862	78.90299	0.3960396	81.39211	0.3118812
negative	101980170	63.09227	0.8032178	58.77982	0.845297	63.18114	0.5216584	54.31843	0.6120049	48.15257	0.7957921	53.34401	0.7091584	64.85373	0.9294555	66.72206	0.7252475	54.16761	0.8360149	62.46616	0.9016089	56.78085	0.9152228	49.84807	0.9362624	62.27106	0.6738861	66.23002	0.6509901	65.21643	0.802599	66.20514	0.7246287	67.01131	0.6089109	62.85236	0.7877475	68.10858	0.5587871	65.56007	0.6794555	62.96177	0.8613861	65.46206	0.7184406	65.46786	0.7951733	64.61955	0.7227723	78.68011	0.5148515	70.08463	0.5092822	75.23138	0.2728961	62.99254	0.6584159	60.60241	0.9096535	69.06969	0.6058168	71.25771	0.6342822	73.9903	0.6268564	57.27406	0.9214109	63.25946	0.7920792	92.2491	0.7481436	63.47709	0.9678218	78.5783	0.7629951	79.90231	0.6460396	60.26754	0.9554455	68.28905	0.8155941	54.61902	0.9257426	74.56951	0.5730198	68.27708	0.6862624	71.8082	0.6404703	68.90903	0.6571782	72.05283	0.5513614	69.26833	0.7512376	63.41399	0.8762376
negative	102230292	81.7809	0.1930693	77.23418	0.2060644	77.7328	0.1293317	71.92899	0.1095297	64.32057	0.2066832	72.0043	0.1256188	85.22328	0.3149753	86.73882	0.134901	71.56664	0.1967822	86.5276	0.1559406	70.91302	0.4436881	81.48289	0.09344059	81.03727	0.1398515	77.00191	0.2710396	87.04755	0.1683168	77.9891	0.3440594	76.87999	0.2846535	82.16386	0.1893564	87.94601	0.09344059	79.55701	0.2277228	91.50027	0.1113861	82.00057	0.1769802	86.90301	0.1670792	84.00434	0.1584158	87.98151	0.2351485	81.08921	0.1856436	80.87656	0.1652228	88.48141	0.0730198	80.80257	0.2431931	76.5108	0.345297	82.70759	0.2654703	86.89784	0.2060644	82.25548	0.154703	88.92569	0.1002475	108.9626	0.2790841	87.14616	0.3545792	100.2563	0.210396	91.29247	0.3013614	77.03625	0.5556931	87.52758	0.2586634	84.94713	0.1454208	82.08765	0.3576733	80.3445	0.2574258	90.56105	0.1268564	82.5352	0.227104	75.00772	0.4461634	86.37706	0.2048267	80.52232	0.3304456
negative	2230292	70.00385	0.5507426	65.97416	0.5785891	50.80863	0.9170792	54.72477	0.5971535	51.82443	0.6386139	55.29333	0.6392327	79.52652	0.4962871	66.40257	0.7332921	56.4472	0.7543317	67.6647	0.7518564	66.58308	0.6064357	53.92994	0.865099	58.15534	0.8267327	67.22455	0.6157178	70.88699	0.6120049	61.92864	0.8533416	67.40575	0.592203	69.70512	0.5507426	67.71225	0.5779703	69.95222	0.5136139	70.38599	0.6138614	71.57736	0.4733911	68.94068	0.6664604	67.44341	0.6243812	72.75229	0.7159653	70.05004	0.5123762	73.30241	0.3304456	78.46267	0.1837871	70.67949	0.5730198	66.15984	0.717203	71.2503	0.634901	71.35902	0.7122525	65.57961	0.6806931	75.03152	0.3663366	97.12621	0.5928218	71.08331	0.8613861	88.01225	0.4727723	81.67673	0.5810643	62.46218	0.9257426	66.95864	0.8465347	60.06637	0.8131188	68.5881	0.7679455	80.09995	0.2642327	73.16535	0.592203	67.04902	0.7332921	72.68479	0.5235149	76.81794	0.4616337	62.981	0.8879951
negative	101940528	64.55627	0.7605198	63.25941	0.6745049	61.26849	0.6058168	61.47748	0.3242574	54.43886	0.5513614	62.10221	0.355198	75.46824	0.6386139	66.7901	0.7196782	61.75633	0.5228961	69.25443	0.6918317	67.66426	0.5662129	55.72413	0.8032178	60.947	0.7314357	59.97172	0.842203	68.84198	0.6856436	73.02524	0.4888614	68.74612	0.5309406	60.21025	0.8644802	65.2093	0.6881188	62.28955	0.7858911	62.82447	0.8669555	64.24178	0.7623762	62.51994	0.8688119	64.20313	0.7370049	73.77301	0.6800743	67.47701	0.6256188	71.55231	0.3873762	51.33567	0.9597772	72.21758	0.5148515	72.17007	0.4832921	69.07336	0.7153465	76.8318	0.5061881	65.19945	0.697401	62.42579	0.8236386	94.82852	0.6652228	79.00613	0.6206683	83.74191	0.5977723	76.69208	0.7277228	72.67515	0.6751238	69.54261	0.7784653	58.55711	0.8521039	67.75188	0.7821782	76.73365	0.3626238	76.4729	0.4529703	72.40997	0.5315594	73.63891	0.4950495	76.62153	0.4721535	64.83165	0.8378713
negative	1940528	74.79987	0.3700495	61.91599	0.720297	65.92719	0.4096535	57.11128	0.4919555	45.87118	0.8620049	57.32753	0.5445545	61.19574	0.9690594	60.97383	0.9016089	61.41427	0.5389851	69.58051	0.6837871	61.08908	0.8038366	55.10352	0.8316832	65.87198	0.5383663	62.17185	0.7815594	60.42299	0.9164604	59.74828	0.904703	55.89223	0.9331683	62.46524	0.7982673	68.82124	0.5321782	68.21059	0.5736386	66.09937	0.7747525	69.60609	0.5488861	68.95968	0.6652228	62.05674	0.802599	74.74679	0.6485149	60.13577	0.8669555	63.01805	0.7332921	63.12073	0.6522277	70.12709	0.5928218	65.30991	0.7419555	67.47088	0.7685643	71.51019	0.7060643	67.01273	0.6274753	70.83561	0.5129951	95.52985	0.6441832	72.10379	0.8366337	71.87826	0.9108911	78.08114	0.6961634	67.25214	0.8211634	78.85316	0.4913366	58.50769	0.8527228	67.37835	0.7914604	65.05608	0.8075495	65.59354	0.8527228	69.05762	0.6509901	63.97997	0.8459159	71.76115	0.6590347	69.83767	0.6980198
negative	101740731	66.69385	0.6738861	64.08472	0.6491337	61.50988	0.5940594	61.57885	0.3193069	62.51296	0.2469059	69.18081	0.1664604	83.39635	0.3632426	66.77687	0.7221535	61.99309	0.5111386	81.06612	0.2673267	77.85692	0.2209158	65.2263	0.4511138	68.6365	0.4238862	70.83688	0.4771039	73.37337	0.5235149	78.86317	0.322401	59.70275	0.8564357	74.16375	0.3985148	70.62231	0.4603961	70.97865	0.4696782	70.28651	0.6188119	64.96364	0.7326733	67.98233	0.7048267	67.24062	0.6324257	68.77637	0.8372525	73.34576	0.3923267	67.66457	0.532797	73.97766	0.2945544	69.83846	0.605198	73.24324	0.4480198	80.95148	0.309406	73.99725	0.6262376	73.02087	0.3867574	68.77241	0.6070545	107.013	0.3174505	83.79066	0.4653465	79.33685	0.7394802	85.14496	0.4665841	85.47999	0.2995049	88.3159	0.240099	79.26788	0.2351485	81.37816	0.3811881	72.06215	0.5408416	73.64513	0.5631188	84.14611	0.1930693	71.04438	0.5928218	74.51546	0.5600247	81.90462	0.2970297
negative	1740731	88.36904	0.1008663	76.07301	0.2357673	66.70615	0.3842822	66.06463	0.2042079	65.15572	0.1887376	76.24222	0.07363861	85.12924	0.3174505	78.72413	0.2939357	78.17513	0.08663366	94.35682	0.07549505	79.01169	0.197401	70.70959	0.2784654	80.49447	0.1516089	88.29716	0.09839109	83.67819	0.2227723	95.70524	0.06806931	86.23872	0.1138614	89.58052	0.112005	77.48119	0.2487624	84.44438	0.1410891	91.76912	0.1095297	96.62872	0.05074257	93.49483	0.09344059	89.74243	0.09839109	93.15849	0.1404703	83.81723	0.1398515	76.26802	0.2475248	83.36246	0.1107673	81.51296	0.2258663	76.75911	0.3360148	88.74118	0.1410891	88.30949	0.1738861	86.47775	0.1002475	83.29797	0.1664604	118.2647	0.1287129	114.3059	0.04022277	111.2925	0.09282178	107.9665	0.08910891	102.9406	0.07611386	97.94294	0.1132426	75.34324	0.3267327	87.98568	0.2295792	77.48653	0.3329208	78.19421	0.3935643	86.45744	0.1509901	89.87164	0.1058168	83.63777	0.2592822	95.33386	0.09344059
negative	101980286	67.51369	0.6441832	67.38186	0.5284653	52.52666	0.8873762	55.36994	0.5631188	48.55165	0.7778465	50.6238	0.8007426	76.62648	0.5928218	57.70707	0.9535891	60.7993	0.5643564	69.7906	0.6726485	67.37161	0.5785891	63.96677	0.4962871	61.46199	0.7116337	63.98431	0.730198	67.50653	0.7314357	69.46101	0.6144802	63.23698	0.7574257	68.74943	0.5884901	64.95302	0.7011139	63.88111	0.740099	69.89121	0.6299505	60.54646	0.8805693	59.9025	0.9183168	61.06546	0.8304455	83.83746	0.3353961	58.76541	0.8966584	68.81816	0.4863862	68.7849	0.4492574	66.93611	0.7141089	75.13882	0.384901	81.61884	0.2939357	76.6225	0.5185643	60.53012	0.8514851	71.10966	0.5043317	99.73965	0.5080445	87.20795	0.3508663	94.10736	0.332302	76.33231	0.7370049	67.68628	0.8118812	74.83523	0.6101485	67.43208	0.5711634	92.60207	0.1596535	72.23302	0.5352723	75.15816	0.4993812	78.35635	0.3254951	71.92928	0.5556931	72.43266	0.6386139	74.05251	0.5445545
negative	1980286	63.89883	0.7784653	55.2641	0.9195545	49.84909	0.9325495	39.18712	0.9808168	39.02234	0.9733911	43.8939	0.9443069	65.40592	0.9183168	52.4768	0.9882426	46.64309	0.9610149	72.35796	0.572401	59.72552	0.8434406	53.24176	0.8805693	57.1163	0.8514851	62.63163	0.7679455	64.00053	0.8360149	58.7647	0.9282178	61.4111	0.8075495	64.80694	0.7240099	61.46537	0.822401	58.66407	0.884901	67.81143	0.7159653	55.7812	0.9603961	68.79934	0.6745049	68.08999	0.5996287	55.96183	0.9956683	69.99917	0.5136139	66.32024	0.5928218	66.33404	0.5321782	66.82412	0.7184406	61.26311	0.8576733	65.24287	0.8409653	83.01286	0.3007426	65.12859	0.7017327	65.4687	0.717203	92.29385	0.7462871	86.25184	0.3824258	73.52048	0.8855198	78.43131	0.6813119	75.44048	0.6033416	66.32941	0.8638614	77.52509	0.2667079	68.71793	0.7623762	71.07903	0.5816832	71.73915	0.6423267	74.02892	0.4709159	76.21919	0.4084159	70.91853	0.6930693	65.91299	0.8137376
